date,sku,begin_on_hand,arrivals,forecast,actual_demand,safety_stock,reorder_point,inventory_position,action,order_qty,fulfilled,stockout_units,ending_on_hand,holding_cost,stockout_cost,total_cost,rationale
2025-01-07,SKU_B,92.0,92,27.5,21.0,13.22,95.74,92.0,ORDER,59,21.0,0.0,71.0,2.13,0.0,2.13,Projected inventory below reorder point; ordered 59
2025-01-07,SKU_C,37.0,35,16.07,17.0,2.76,34.9,37.0,WAIT,0,17.0,0.0,20.0,0.5,0.0,0.5,Inventory position above reorder point
2025-01-08,SKU_A,70.0,0,35.16,37.0,20.56,161.19,156.0,ORDER,76,37.0,0.0,33.0,1.32,0.0,1.32,Projected inventory below reorder point; ordered 76
2025-01-08,SKU_B,71.0,0,25.23,22.0,13.93,89.62,130.0,WAIT,0,22.0,0.0,49.0,1.47,0.0,1.47,Inventory position above reorder point
2025-01-08,SKU_C,20.0,0,16.4,16.0,2.63,35.42,20.0,ORDER,49,16.0,0.0,4.0,0.1,0.0,0.1,Projected inventory below reorder point; ordered 49
2025-01-09,SKU_A,119.0,86,35.8,34.0,19.15,162.36,195.0,WAIT,0,34.0,0.0,85.0,3.4,0.0,3.4,Inventory position above reorder point
2025-01-09,SKU_B,49.0,0,24.1,23.0,13.19,85.49,108.0,WAIT,0,23.0,0.0,26.0,0.78,0.0,0.78,Inventory position above reorder point
2025-01-09,SKU_C,4.0,0,16.26,17.0,2.44,34.96,53.0,WAIT,0,4.0,13.0,0.0,0.0,78.0,78.0,Inventory position above reorder point
2025-01-10,SKU_A,85.0,0,35.17,34.0,18.06,158.74,161.0,WAIT,0,34.0,0.0,51.0,2.04,0.0,2.04,Inventory position above reorder point
2025-01-10,SKU_B,85.0,59,23.71,16.0,12.35,83.49,85.0,WAIT,0,16.0,0.0,69.0,2.07,0.0,2.07,Inventory position above reorder point
2025-01-10,SKU_C,49.0,49,16.52,15.0,2.34,35.37,49.0,WAIT,0,15.0,0.0,34.0,0.85,0.0,0.85,Inventory position above reorder point
2025-01-11,SKU_A,51.0,0,34.76,21.0,17.07,156.12,127.0,ORDER,99,21.0,0.0,30.0,1.2,0.0,1.2,Projected inventory below reorder point; ordered 99
2025-01-11,SKU_B,69.0,0,21.01,15.0,12.9,75.94,69.0,ORDER,49,15.0,0.0,54.0,1.62,0.0,1.62,Projected inventory below reorder point; ordered 49
2025-01-11,SKU_C,34.0,0,15.99,7.0,2.37,34.35,34.0,ORDER,33,7.0,0.0,27.0,0.68,0.0,0.68,Projected inventory below reorder point; ordered 33
2025-01-12,SKU_A,106.0,76,29.95,24.0,21.14,140.92,205.0,WAIT,0,24.0,0.0,82.0,3.28,0.0,3.28,Inventory position above reorder point
2025-01-12,SKU_B,54.0,0,18.91,13.0,12.73,69.46,103.0,WAIT,0,13.0,0.0,41.0,1.23,0.0,1.23,Inventory position above reorder point
2025-01-12,SKU_C,27.0,0,12.84,10.0,5.34,31.02,60.0,WAIT,0,10.0,0.0,17.0,0.43,0.0,0.43,Inventory position above reorder point
2025-01-13,SKU_A,82.0,0,27.86,43.0,20.63,132.09,181.0,WAIT,0,43.0,0.0,39.0,1.56,0.0,1.56,Inventory position above reorder point
2025-01-13,SKU_B,41.0,0,16.84,19.0,12.5,63.03,90.0,WAIT,0,19.0,0.0,22.0,0.66,0.0,0.66,Inventory position above reorder point
2025-01-13,SKU_C,50.0,33,11.85,15.0,5.19,28.88,50.0,WAIT,0,15.0,0.0,35.0,0.88,0.0,0.88,Inventory position above reorder point
2025-01-14,SKU_A,39.0,0,33.16,28.0,25.02,157.67,138.0,ORDER,86,28.0,0.0,11.0,0.44,0.0,0.44,Projected inventory below reorder point; ordered 86
2025-01-14,SKU_B,71.0,49,17.6,20.0,12.3,65.09,71.0,WAIT,0,20.0,0.0,51.0,1.53,0.0,1.53,Inventory position above reorder point
2025-01-14,SKU_C,35.0,0,12.95,15.0,5.41,31.31,35.0,WAIT,0,15.0,0.0,20.0,0.5,0.0,0.5,Inventory position above reorder point
2025-01-15,SKU_A,110.0,99,31.36,36.0,24.4,149.82,196.0,WAIT,0,36.0,0.0,74.0,2.96,0.0,2.96,Inventory position above reorder point
2025-01-15,SKU_B,51.0,0,18.44,24.0,12.11,67.42,51.0,ORDER,54,24.0,0.0,27.0,0.81,0.0,0.81,Projected inventory below reorder point; ordered 54
2025-01-15,SKU_C,20.0,0,13.67,16.0,5.37,32.71,20.0,ORDER,41,16.0,0.0,4.0,0.1,0.0,0.1,Projected inventory below reorder point; ordered 41
2025-01-16,SKU_A,74.0,0,32.98,33.0,23.95,155.88,160.0,WAIT,0,33.0,0.0,41.0,1.64,0.0,1.64,Inventory position above reorder point
2025-01-16,SKU_B,27.0,0,20.38,27.0,12.46,73.62,81.0,WAIT,0,27.0,0.0,0.0,0.0,0.0,0.0,Inventory position above reorder point
2025-01-16,SKU_C,4.0,0,14.48,16.0,5.35,34.32,45.0,WAIT,0,4.0,12.0,0.0,0.0,72.0,72.0,Inventory position above reorder point
2025-01-17,SKU_A,41.0,0,32.99,52.0,23.14,155.09,127.0,ORDER,95,41.0,11.0,0.0,0.0,121.0,121.0,Projected inventory below reorder point; ordered 95
2025-01-17,SKU_B,0.0,0,22.7,26.0,12.89,80.99,54.0,ORDER,73,0.0,26.0,0.0,0.0,208.0,208.0,Projected inventory below reorder point; ordered 73
2025-01-17,SKU_C,41.0,41,15.01,21.0,5.24,35.27,41.0,WAIT,0,21.0,0.0,20.0,0.5,0.0,0.5,Inventory position above reorder point
2025-01-18,SKU_A,86.0,86,39.64,33.0,27.22,185.79,181.0,ORDER,85,33.0,0.0,53.0,2.12,0.0,2.12,Projected inventory below reorder point; ordered 85
2025-01-18,SKU_B,54.0,54,23.85,25.0,12.67,84.24,127.0,WAIT,0,25.0,0.0,29.0,0.87,0.0,0.87,Inventory position above reorder point
2025-01-18,SKU_C,20.0,0,17.11,14.0,5.77,39.98,20.0,ORDER,55,14.0,0.0,6.0,0.15,0.0,0.15,Projected inventory below reorder point; ordered 55
2025-01-19,SKU_A,53.0,0,37.32,35.0,27.03,176.3,233.0,WAIT,0,35.0,0.0,18.0,0.72,0.0,0.72,Inventory position above reorder point
2025-01-19,SKU_B,29.0,0,24.26,21.0,12.32,85.09,102.0,WAIT,0,21.0,0.0,8.0,0.24,0.0,0.24,Inventory position above reorder point
2025-01-19,SKU_C,6.0,0,16.02,17.0,5.76,37.8,61.0,WAIT,0,6.0,11.0,0.0,0.0,66.0,66.0,Inventory position above reorder point
2025-01-20,SKU_A,18.0,0,36.51,41.0,26.35,172.37,198.0,WAIT,0,18.0,23.0,0.0,0.0,253.0,253.0,Inventory position above reorder point
2025-01-20,SKU_B,81.0,73,23.12,26.0,12.1,81.45,81.0,ORDER,47,26.0,0.0,55.0,1.65,0.0,1.65,Projected inventory below reorder point; ordered 47
2025-01-20,SKU_C,55.0,55,16.36,16.0,5.61,38.34,55.0,WAIT,0,16.0,0.0,39.0,0.98,0.0,0.98,Inventory position above reorder point
2025-01-21,SKU_A,95.0,95,38.08,41.0,25.83,178.15,180.0,WAIT,0,41.0,0.0,54.0,2.16,0.0,2.16,Inventory position above reorder point
2025-01-21,SKU_B,55.0,0,24.13,26.0,11.9,84.28,102.0,WAIT,0,26.0,0.0,29.0,0.87,0.0,0.87,Inventory position above reorder point
2025-01-21,SKU_C,39.0,0,16.24,20.0,5.47,37.94,39.0,WAIT,0,20.0,0.0,19.0,0.48,0.0,0.48,Inventory position above reorder point
2025-01-22,SKU_A,139.0,85,39.1,35.0,25.24,181.65,139.0,ORDER,121,35.0,0.0,104.0,4.16,0.0,4.16,Projected inventory below reorder point; ordered 121
2025-01-22,SKU_B,29.0,0,24.78,25.0,11.65,86.0,76.0,ORDER,60,25.0,0.0,4.0,0.12,0.0,0.12,Projected inventory below reorder point; ordered 60
2025-01-22,SKU_C,19.0,0,17.55,17.0,5.54,40.64,19.0,ORDER,57,17.0,0.0,2.0,0.05,0.0,0.05,Projected inventory below reorder point; ordered 57
2025-01-23,SKU_A,104.0,0,37.67,35.0,24.85,175.51,225.0,WAIT,0,35.0,0.0,69.0,2.76,0.0,2.76,Inventory position above reorder point
2025-01-23,SKU_B,51.0,47,24.86,22.0,11.37,85.95,111.0,WAIT,0,22.0,0.0,29.0,0.87,0.0,0.87,Inventory position above reorder point
2025-01-23,SKU_C,2.0,0,17.36,15.0,5.41,40.13,59.0,WAIT,0,2.0,13.0,0.0,0.0,78.0,78.0,Inventory position above reorder point
2025-01-24,SKU_A,69.0,0,36.73,31.0,24.37,171.3,190.0,WAIT,0,31.0,0.0,38.0,1.52,0.0,1.52,Inventory position above reorder point
2025-01-24,SKU_B,29.0,0,23.86,19.0,11.2,82.78,89.0,WAIT,0,19.0,0.0,10.0,0.3,0.0,0.3,Inventory position above reorder point
2025-01-24,SKU_C,57.0,57,16.53,14.0,5.37,38.44,57.0,WAIT,0,14.0,0.0,43.0,1.07,0.0,1.07,Inventory position above reorder point
2025-01-25,SKU_A,38.0,0,34.73,27.0,24.16,163.07,159.0,ORDER,74,27.0,0.0,11.0,0.44,0.0,0.44,Projected inventory below reorder point; ordered 74
2025-01-25,SKU_B,70.0,60,22.16,19.0,11.2,77.67,70.0,ORDER,52,19.0,0.0,51.0,1.53,0.0,1.53,Projected inventory below reorder point; ordered 52
2025-01-25,SKU_C,43.0,0,15.65,13.0,5.33,36.63,43.0,WAIT,0,13.0,0.0,30.0,0.75,0.0,0.75,Inventory position above reorder point
2025-01-26,SKU_A,132.0,121,32.02,27.0,24.19,152.28,206.0,WAIT,0,27.0,0.0,105.0,4.2,0.0,4.2,Inventory position above reorder point
2025-01-26,SKU_B,51.0,0,21.05,16.0,11.05,74.2,103.0,WAIT,0,16.0,0.0,35.0,1.05,0.0,1.05,Inventory position above reorder point
2025-01-26,SKU_C,30.0,0,14.72,11.0,5.3,34.74,30.0,ORDER,35,11.0,0.0,19.0,0.48,0.0,0.48,Projected inventory below reorder point; ordered 35
2025-01-27,SKU_A,105.0,0,30.26,32.0,23.89,144.95,179.0,WAIT,0,32.0,0.0,73.0,2.92,0.0,2.92,Inventory position above reorder point
2025-01-27,SKU_B,35.0,0,19.28,21.0,11.04,68.89,87.0,WAIT,0,21.0,0.0,14.0,0.42,0.0,0.42,Inventory position above reorder point
2025-01-27,SKU_C,19.0,0,13.42,17.0,5.34,32.18,54.0,WAIT,0,17.0,0.0,2.0,0.05,0.0,0.05,Inventory position above reorder point
2025-01-28,SKU_A,73.0,0,30.87,32.0,23.47,146.96,147.0,WAIT,0,32.0,0.0,41.0,1.64,0.0,1.64,Inventory position above reorder point
2025-01-28,SKU_B,66.0,52,19.88,19.0,10.88,70.54,66.0,ORDER,45,19.0,0.0,47.0,1.41,0.0,1.41,Projected inventory below reorder point; ordered 45
2025-01-28,SKU_C,37.0,35,14.67,18.0,5.42,34.76,37.0,WAIT,0,18.0,0.0,19.0,0.48,0.0,0.48,Inventory position above reorder point
2025-01-29,SKU_A,115.0,74,31.27,38.0,23.05,148.12,115.0,ORDER,96,38.0,0.0,77.0,3.08,0.0,3.08,Projected inventory below reorder point; ordered 96
2025-01-29,SKU_B,47.0,0,19.58,26.0,10.68,69.41,92.0,WAIT,0,26.0,0.0,21.0,0.63,0.0,0.63,Inventory position above reorder point
2025-01-29,SKU_C,19.0,0,15.84,18.0,5.45,37.12,19.0,ORDER,50,18.0,0.0,1.0,0.03,0.0,0.03,Projected inventory below reorder point; ordered 50
2025-01-30,SKU_A,77.0,0,33.62,33.0,23.05,157.55,173.0,WAIT,0,33.0,0.0,44.0,1.76,0.0,1.76,Inventory position above reorder point
2025-01-30,SKU_B,21.0,0,21.82,33.0,10.96,76.43,66.0,ORDER,55,21.0,12.0,0.0,0.0,96.0,96.0,Projected inventory below reorder point; ordered 55
2025-01-30,SKU_C,1.0,0,16.59,21.0,5.4,38.59,51.0,WAIT,0,1.0,20.0,0.0,0.0,120.0,120.0,Inventory position above reorder point
2025-01-31,SKU_A,44.0,0,33.41,44.0,22.65,156.27,140.0,ORDER,84,44.0,0.0,0.0,0.0,0.0,0.0,Projected inventory below reorder point; ordered 84
2025-01-31,SKU_B,45.0,45,25.74,31.0,11.92,89.13,100.0,WAIT,0,31.0,0.0,14.0,0.42,0.0,0.42,Inventory position above reorder point
2025-01-31,SKU_C,50.0,50,18.14,20.0,5.5,41.78,50.0,WAIT,0,20.0,0.0,30.0,0.75,0.0,0.75,Inventory position above reorder point
2025-02-01,SKU_A,0.0,0,37.11,30.0,23.16,171.61,180.0,WAIT,0,0.0,30.0,0.0,0.0,330.0,330.0,Inventory position above reorder point
2025-02-01,SKU_B,14.0,0,27.58,22.0,11.94,94.67,69.0,ORDER,81,14.0,8.0,0.0,0.0,64.0,64.0,Projected inventory below reorder point; ordered 81
2025-02-01,SKU_C,30.0,0,18.79,16.0,5.44,43.02,30.0,ORDER,51,16.0,0.0,14.0,0.35,0.0,0.35,Projected inventory below reorder point; ordered 51
2025-02-02,SKU_A,96.0,96,34.62,36.0,23.18,161.67,180.0,WAIT,0,36.0,0.0,60.0,2.4,0.0,2.4,Inventory position above reorder point
2025-02-02,SKU_B,55.0,55,25.63,23.0,12.01,88.88,136.0,WAIT,0,23.0,0.0,32.0,0.96,0.0,0.96,Inventory position above reorder point
2025-02-02,SKU_C,14.0,0,17.81,15.0,5.44,41.06,65.0,WAIT,0,14.0,1.0,0.0,0.0,6.0,6.0,Inventory position above reorder point
2025-02-03,SKU_A,60.0,0,35.11,45.0,22.83,163.25,144.0,ORDER,90,45.0,0.0,15.0,0.6,0.0,0.6,Projected inventory below reorder point; ordered 90
2025-02-03,SKU_B,32.0,0,24.71,23.0,11.87,85.99,113.0,WAIT,0,23.0,0.0,9.0,0.27,0.0,0.27,Inventory position above reorder point
2025-02-03,SKU_C,51.0,51,16.83,20.0,5.43,39.09,51.0,WAIT,0,20.0,0.0,31.0,0.78,0.0,0.78,Inventory position above reorder point
2025-02-04,SKU_A,99.0,84,38.57,43.0,23.16,177.43,189.0,WAIT,0,43.0,0.0,56.0,2.24,0.0,2.24,Inventory position above reorder point
2025-02-04,SKU_B,90.0,81,24.11,24.0,11.71,84.04,90.0,WAIT,0,24.0,0.0,66.0,1.98,0.0,1.98,Inventory position above reorder point
2025-02-04,SKU_C,31.0,0,17.94,13.0,5.44,41.31,31.0,ORDER,47,13.0,0.0,18.0,0.45,0.0,0.45,Projected inventory below reorder point; ordered 47
2025-02-05,SKU_A,56.0,0,40.12,33.0,22.93,183.41,146.0,ORDER,118,33.0,0.0,23.0,0.92,0.0,0.92,Projected inventory below reorder point; ordered 118
2025-02-05,SKU_B,66.0,0,24.07,25.0,11.54,83.75,66.0,ORDER,66,25.0,0.0,41.0,1.23,0.0,1.23,Projected inventory below reorder point; ordered 66
2025-02-05,SKU_C,18.0,0,16.21,17.0,5.58,38.0,65.0,WAIT,0,17.0,0.0,1.0,0.03,0.0,0.03,Inventory position above reorder point
2025-02-06,SKU_A,23.0,0,37.63,41.0,22.98,173.49,231.0,WAIT,0,23.0,18.0,0.0,0.0,198.0,198.0,Inventory position above reorder point
2025-02-06,SKU_B,41.0,0,24.4,19.0,11.38,84.57,107.0,WAIT,0,19.0,0.0,22.0,0.66,0.0,0.66,Inventory position above reorder point
2025-02-06,SKU_C,48.0,47,16.49,15.0,5.5,38.47,48.0,WAIT,0,15.0,0.0,33.0,0.83,0.0,0.83,Inventory position above reorder point
2025-02-07,SKU_A,90.0,90,38.81,37.0,22.72,177.95,208.0,WAIT,0,37.0,0.0,53.0,2.12,0.0,2.12,Inventory position above reorder point
2025-02-07,SKU_B,22.0,0,22.51,21.0,11.42,78.94,88.0,WAIT,0,21.0,0.0,1.0,0.03,0.0,0.03,Inventory position above reorder point
2025-02-07,SKU_C,33.0,0,15.97,10.0,5.44,37.37,33.0,ORDER,37,10.0,0.0,23.0,0.58,0.0,0.58,Projected inventory below reorder point; ordered 37
2025-02-08,SKU_A,53.0,0,38.18,28.0,22.44,175.14,171.0,ORDER,81,28.0,0.0,25.0,1.0,0.0,1.0,Projected inventory below reorder point; ordered 81
2025-02-08,SKU_B,67.0,66,21.98,21.0,11.28,77.22,67.0,ORDER,55,21.0,0.0,46.0,1.38,0.0,1.38,Projected inventory below reorder point; ordered 55
2025-02-08,SKU_C,23.0,0,13.88,13.0,5.64,33.4,60.0,WAIT,0,13.0,0.0,10.0,0.25,0.0,0.25,Inventory position above reorder point
2025-02-09,SKU_A,143.0,118,34.61,22.0,22.81,161.27,224.0,WAIT,0,22.0,0.0,121.0,4.84,0.0,4.84,Inventory position above reorder point
2025-02-09,SKU_B,46.0,0,21.64,14.0,11.13,76.04,101.0,WAIT,0,14.0,0.0,32.0,0.96,0.0,0.96,Inventory position above reorder point
2025-02-09,SKU_C,47.0,37,13.57,11.0,5.57,32.71,47.0,WAIT,0,11.0,0.0,36.0,0.9,0.0,0.9,Inventory position above reorder point
2025-02-10,SKU_A,121.0,0,30.2,41.0,23.45,144.24,202.0,WAIT,0,41.0,0.0,80.0,3.2,0.0,3.2,Inventory position above reorder point
2025-02-10,SKU_B,32.0,0,18.96,21.0,11.35,68.24,87.0,WAIT,0,21.0,0.0,11.0,0.33,0.0,0.33,Inventory position above reorder point
2025-02-10,SKU_C,36.0,0,12.67,13.0,5.54,30.88,36.0,WAIT,0,13.0,0.0,23.0,0.58,0.0,0.58,Inventory position above reorder point
2025-02-11,SKU_A,80.0,0,33.98,40.0,23.85,159.77,161.0,WAIT,0,40.0,0.0,40.0,1.6,0.0,1.6,Inventory position above reorder point
2025-02-11,SKU_B,66.0,55,19.68,21.0,11.24,70.27,66.0,ORDER,44,21.0,0.0,45.0,1.35,0.0,1.35,Projected inventory below reorder point; ordered 44
2025-02-11,SKU_C,23.0,0,12.79,18.0,5.48,31.05,23.0,ORDER,34,18.0,0.0,5.0,0.12,0.0,0.12,Projected inventory below reorder point; ordered 34
2025-02-12,SKU_A,121.0,81,36.09,34.0,23.76,168.11,121.0,ORDER,120,34.0,0.0,87.0,3.48,0.0,3.48,Projected inventory below reorder point; ordered 120
2025-02-12,SKU_B,45.0,0,20.14,23.0,11.13,71.54,89.0,WAIT,0,23.0,0.0,22.0,0.66,0.0,0.66,Inventory position above reorder point
2025-02-12,SKU_C,5.0,0,14.61,18.0,5.62,34.84,39.0,WAIT,0,5.0,13.0,0.0,0.0,78.0,78.0,Inventory position above reorder point
2025-02-13,SKU_A,87.0,0,35.36,46.0,23.5,164.93,207.0,WAIT,0,46.0,0.0,41.0,1.64,0.0,1.64,Inventory position above reorder point
2025-02-13,SKU_B,22.0,0,21.14,28.0,11.06,74.48,66.0,ORDER,51,22.0,6.0,0.0,0.0,48.0,48.0,Projected inventory below reorder point; ordered 51
2025-02-13,SKU_C,34.0,34,15.8,18.0,5.64,37.23,34.0,ORDER,35,18.0,0.0,16.0,0.4,0.0,0.4,Projected inventory below reorder point; ordered 35
2025-02-14,SKU_A,41.0,0,39.08,34.0,23.82,180.14,161.0,ORDER,98,34.0,0.0,7.0,0.28,0.0,0.28,Projected inventory below reorder point; ordered 98
2025-02-14,SKU_B,44.0,44,23.54,26.0,11.24,81.86,95.0,WAIT,0,26.0,0.0,18.0,0.54,0.0,0.54,Inventory position above reorder point
2025-02-14,SKU_C,16.0,0,16.57,18.0,5.6,38.74,51.0,WAIT,0,16.0,2.0,0.0,0.0,12.0,12.0,Inventory position above reorder point
2025-02-15,SKU_A,7.0,0,37.3,32.0,23.69,172.9,225.0,WAIT,0,7.0,25.0,0.0,0.0,275.0,275.0,Inventory position above reorder point
2025-02-15,SKU_B,18.0,0,24.4,24.0,11.15,84.35,69.0,ORDER,65,18.0,6.0,0.0,0.0,48.0,48.0,Projected inventory below reorder point; ordered 65
2025-02-15,SKU_C,35.0,35,17.07,15.0,5.55,39.69,35.0,ORDER,39,15.0,0.0,20.0,0.5,0.0,0.5,Projected inventory below reorder point; ordered 39
2025-02-16,SKU_A,120.0,120,35.45,35.0,23.57,165.36,218.0,WAIT,0,35.0,0.0,85.0,3.4,0.0,3.4,Inventory position above reorder point
2025-02-16,SKU_B,51.0,51,24.26,22.0,11.02,83.81,116.0,WAIT,0,22.0,0.0,29.0,0.87,0.0,0.87,Inventory position above reorder point
2025-02-16,SKU_C,20.0,0,16.35,14.0,5.52,38.21,59.0,WAIT,0,14.0,0.0,6.0,0.15,0.0,0.15,Inventory position above reorder point
2025-02-17,SKU_A,85.0,0,35.29,40.0,23.32,164.48,183.0,WAIT,0,40.0,0.0,45.0,1.8,0.0,1.8,Inventory position above reorder point
2025-02-17,SKU_B,29.0,0,23.47,27.0,10.93,81.34,94.0,WAIT,0,27.0,0.0,2.0,0.06,0.0,0.06,Inventory position above reorder point
2025-02-17,SKU_C,45.0,39,15.52,20.0,5.5,36.54,45.0,WAIT,0,20.0,0.0,25.0,0.62,0.0,0.62,Inventory position above reorder point
2025-02-18,SKU_A,143.0,98,36.94,36.0,23.17,170.93,143.0,ORDER,102,36.0,0.0,107.0,4.28,0.0,4.28,Projected inventory below reorder point; ordered 102
2025-02-18,SKU_B,67.0,65,24.71,24.0,10.89,85.01,67.0,ORDER,68,24.0,0.0,43.0,1.29,0.0,1.29,Projected inventory below reorder point; ordered 68
2025-02-18,SKU_C,25.0,0,17.09,15.0,5.56,39.75,25.0,ORDER,49,15.0,0.0,10.0,0.25,0.0,0.25,Projected inventory below reorder point; ordered 49
2025-02-19,SKU_A,107.0,0,36.61,44.0,22.94,169.38,209.0,WAIT,0,44.0,0.0,63.0,2.52,0.0,2.52,Inventory position above reorder point
2025-02-19,SKU_B,43.0,0,24.46,28.0,10.78,84.15,111.0,WAIT,0,28.0,0.0,15.0,0.45,0.0,0.45,Inventory position above reorder point
2025-02-19,SKU_C,10.0,0,16.36,16.0,5.53,38.25,59.0,WAIT,0,10.0,6.0,0.0,0.0,36.0,36.0,Inventory position above reorder point
2025-02-20,SKU_A,63.0,0,39.2,33.0,22.95,179.74,165.0,ORDER,94,33.0,0.0,30.0,1.2,0.0,1.2,Projected inventory below reorder point; ordered 94
2025-02-20,SKU_B,15.0,0,25.7,19.0,10.74,87.83,83.0,ORDER,57,15.0,4.0,0.0,0.0,32.0,32.0,Projected inventory below reorder point; ordered 57
2025-02-20,SKU_C,49.0,49,16.23,15.0,5.48,37.94,49.0,WAIT,0,15.0,0.0,34.0,0.85,0.0,0.85,Inventory position above reorder point
2025-02-21,SKU_A,30.0,0,37.03,36.0,22.92,171.03,226.0,WAIT,0,30.0,6.0,0.0,0.0,66.0,66.0,Inventory position above reorder point
2025-02-21,SKU_B,68.0,68,23.35,28.0,10.87,80.94,125.0,WAIT,0,28.0,0.0,40.0,1.2,0.0,1.2,Inventory position above reorder point
2025-02-21,SKU_C,34.0,0,15.8,15.0,5.43,37.03,34.0,ORDER,35,15.0,0.0,19.0,0.48,0.0,0.48,Projected inventory below reorder point; ordered 35
2025-02-22,SKU_A,102.0,102,36.67,24.0,22.7,169.37,196.0,WAIT,0,24.0,0.0,78.0,3.12,0.0,3.12,Inventory position above reorder point
2025-02-22,SKU_B,40.0,0,24.98,11.0,10.89,85.83,97.0,WAIT,0,11.0,0.0,29.0,0.87,0.0,0.87,Inventory position above reorder point
2025-02-22,SKU_C,19.0,0,15.52,14.0,5.38,36.42,54.0,WAIT,0,14.0,0.0,5.0,0.12,0.0,0.12,Inventory position above reorder point
2025-02-23,SKU_A,78.0,0,32.23,25.0,23.2,152.14,172.0,WAIT,0,25.0,0.0,53.0,2.12,0.0,2.12,Inventory position above reorder point
2025-02-23,SKU_B,86.0,57,20.09,12.0,11.75,72.01,86.0,WAIT,0,12.0,0.0,74.0,2.22,0.0,2.22,Inventory position above reorder point
2025-02-23,SKU_C,40.0,35,14.99,11.0,5.34,35.32,40.0,WAIT,0,11.0,0.0,29.0,0.73,0.0,0.73,Inventory position above reorder point
2025-02-24,SKU_A,147.0,94,29.7,26.0,23.2,142.01,147.0,WAIT,0,26.0,0.0,121.0,4.84,0.0,4.84,Inventory position above reorder point
2025-02-24,SKU_B,74.0,0,17.26,28.0,11.92,63.69,74.0,WAIT,0,28.0,0.0,46.0,1.38,0.0,1.38,Inventory position above reorder point
2025-02-24,SKU_C,29.0,0,13.59,16.0,5.38,32.56,29.0,ORDER,31,16.0,0.0,13.0,0.33,0.0,0.33,Projected inventory below reorder point; ordered 31
