date,sku,qty_sold
2025-03-07,SKU_C,15
2025-03-08,SKU_A,24
2025-03-08,SKU_B,17
2025-03-08,SKU_C,10
2025-03-09,SKU_A,22
2025-03-09,SKU_B,12
2025-03-09,SKU_C,7
2025-03-10,SKU_A,32
2025-03-10,SKU_B,21
2025-03-10,SKU_C,13
2025-03-11,SKU_A,41
2025-03-11,SKU_B,23
2025-03-11,SKU_C,16
2025-03-12,SKU_A,43
2025-03-12,SKU_B,22
2025-03-12,SKU_C,13
2025-03-13,SKU_A,43
2025-03-13,SKU_B,24
2025-03-13,SKU_C,21
2025-03-14,SKU_A,46
2025-03-14,SKU_B,33
2025-03-14,SKU_C,22
2025-03-15,SKU_A,26
2025-03-15,SKU_B,25
2025-03-15,SKU_C,15
2025-03-16,SKU_A,30
2025-03-16,SKU_B,21
2025-03-16,SKU_C,17
2025-03-17,SKU_A,44
2025-03-17,SKU_B,30
2025-03-17,SKU_C,15
2025-03-18,SKU_A,36
2025-03-18,SKU_B,18
2025-03-18,SKU_C,18
2025-03-19,SKU_A,41
2025-03-19,SKU_B,22
2025-03-19,SKU_C,17
2025-03-20,SKU_A,37
2025-03-20,SKU_B,25
2025-03-20,SKU_C,14
2025-03-21,SKU_A,32
2025-03-21,SKU_B,20
2025-03-21,SKU_C,19
2025-03-22,SKU_A,30
2025-03-22,SKU_B,16
2025-03-22,SKU_C,12
2025-03-23,SKU_A,26
2025-03-23,SKU_B,16
2025-03-23,SKU_C,10
2025-03-24,SKU_A,31
2025-03-24,SKU_B,17
2025-03-24,SKU_C,13
2025-03-25,SKU_A,42
2025-03-25,SKU_B,24
2025-03-25,SKU_C,15
2025-03-26,SKU_A,37
2025-03-26,SKU_B,25
2025-03-26,SKU_C,18
2025-03-27,SKU_A,37
2025-03-27,SKU_B,27
2025-03-27,SKU_C,19
2025-03-28,SKU_A,41
2025-03-28,SKU_B,27
2025-03-28,SKU_C,18
2025-03-29,SKU_A,31
2025-03-29,SKU_B,26
2025-03-29,SKU_C,12
2025-03-30,SKU_A,32
2025-03-30,SKU_B,21
2025-03-30,SKU_C,14
2025-03-31,SKU_A,41
2025-03-31,SKU_B,31
2025-03-31,SKU_C,19
